#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2026,Crédito Definitivo 2026,Obligado
0171,3351,16000,,Seguridad social a cargo del ayuntamiento,193700.0,193700.0,47393.45
0171,3351,16500,,Cuotas elkarkidetza a cargo ayuntamiento,8715.0,8715.0,1316.38
0171,3351,22111,,Otros enseres,1500.0,1500.0,0.0
0171,3351,22707,,Gastos varios ayto.,10000.0,10000.0,2843.87
0171,3351,22741,,Cursos de euskera para madres y padres,480000.0,480000.0,80687.28
0171,3351,22742,,Udal langileentzako ikastaroak,8500.0,8500.0,143.85
0171,3351,22758,,Plan de comunicación,30000.0,30000.0,0.0
0171,3351,22780,,Plan euskera,255000.0,255000.0,8891.68
0171,3351,22780,R,Plan euskera,0.0,7131.76,3502.0
0171,3351,22781,,Gasteiz euskararen hiria,75000.0,75000.0,0.0
0171,3351,22799,,Traducciones externas euskera,10000.0,10000.0,551.32
0171,3351,41803,,Convenio euskaltzaindia,50000.0,50000.0,0.0
0171,3351,41803,R,Convenio euskaltzaindia,0.0,10000.0,10000.0
0171,3351,42302,,Convenio con la camara de comercio,7000.0,7000.0,0.0
0171,3351,42302,R,Convenio con la camara de comercio,0.0,1400.0,0.0
0171,3351,48001,,Subvenciones a particulares para estudios de euskera,150000.0,150000.0,0.0
0171,3351,48002,,Becas y bolsas de estudio al personal,30000.0,30000.0,0.0
0171,3351,48005,,Subvencion plan general uso del euskera,223000.0,223000.0,0.0
0171,3351,48005,A,Subvencion plan general uso del euskera,0.0,4425.46,0.0
0171,3351,48005,R,Subvencion plan general uso del euskera,0.0,39800.02,1374.72
0171,3351,48009,,Modernización sector euskalgintza,125000.0,125000.0,0.0
0171,3351,48044,,Convenio geu,87000.0,87000.0,0.0
0171,3351,48044,R,Convenio geu,0.0,15400.0,15400.0
0171,3351,48064,,Convenio korrika,4000.0,4000.0,0.0
0171,3351,48065,,Convenio euskaraldia,50000.0,50000.0,0.0
0171,3351,48065,R,Convenio euskaraldia,0.0,10000.0,0.0
0171,3351,48101,,Convenio araba euskaraz,10000.0,10000.0,8000.0
0171,3351,48101,R,Convenio araba euskaraz,0.0,4000.0,4000.0
0171,3351,48103,,Convenio lazarraga - izaskun arrue kulturgunea,400000.0,400000.0,0.0
0171,3351,48103,R,Convenio lazarraga - izaskun arrue kulturgunea,0.0,66000.0,0.0
0171,3351,48997,,Convenio bai euskarari,25000.0,25000.0,0.0
0171,3351,48997,R,Convenio bai euskarari,0.0,4600.0,0.0
0171,3351,62501,,Euskararen etxea,110000.0,110000.0,80.9
0171,3351,62501,R,Euskararen etxea,0.0,24954.08,24954.08
0171,3351,62800,,Adquisicion publicaciones y libros,1000.0,1000.0,0.0
0180,3293,41902,,Convenio upv-cursos dchos.internacional,30000.0,30000.0,0.0
0180,3293,41902,R,Convenio upv-cursos dchos.internacional,0.0,6000.0,3331.12
0180,9271,12000,,Retribuciones basicas de funcionarios,157098.0,157098.0,34334.25
0180,9271,12100,,Retribuciones complementarias funcionarios,194735.0,194735.0,56333.72
0180,9271,12105,,Retribuciones consecuc.objetivos,6372.0,6372.0,0.0
0180,9271,14100,,Otro personal,11004.0,11004.0,35550.88
0180,9271,14101,,Retribuciones al personal de sustituciones,171.0,171.0,0.0
0180,9271,16000,,Seguridad social a cargo del ayuntamiento,102360.0,102360.0,42795.88
0180,9271,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7447.0,7447.0,2535.96
0180,9271,22603,,Publicaciones y publicidad,499999.0,499999.0,76892.35
0180,9271,22612,,Adquisicion prensa diaria,20000.0,20000.0,2868.64
0180,9271,22616,,Servicios de asistencia tecnica a prensa,40000.0,40000.0,3024.36
0180,9271,22616,R,Servicios de asistencia tecnica a prensa,0.0,2713.89,713.9
0180,9271,22628,,Comunicación audiovisual,20000.0,20000.0,0.0
0180,9271,22631,,Participacion municipal en otras instituciones,35000.0,35000.0,14523.6
0180,9271,22632,,Suscripciones,3000.0,3000.0,2860.0
0180,9271,22634,,Organizacion de eventos  y gastos de representación,110000.0,110000.0,31532.97
0180,9271,22634,R,Organizacion de eventos  y gastos de representación,0.0,3333.32,0.0
0180,9271,22645,,Anuncios oficiales por ley,120000.0,120000.0,0.0
0180,9271,22730,,Servicio almacenaje fondos editoriales,7000.0,7000.0,414.63
0180,9271,22732,,Contrato de prestación de servicios video acta,30000.0,30000.0,1117.95
0180,9271,22732,R,Contrato de prestación de servicios video acta,0.0,15795.73,0.0
0180,9271,22799,,Servicios de traducción,46000.0,46000.0,5377.19
0180,9271,62505,,Otros enseres,25000.0,25000.0,1414.37
0181,2327,12000,,Retribuciones basicas de funcionarios,40981.0,40981.0,8777.44
0181,2327,12100,,Retribuciones complementarias funcionarios,50862.0,50862.0,14506.13
0181,2327,12105,,Retribuciones consecuc.objetivos,2409.0,2409.0,0.0
0181,2327,14100,,Otro personal,89388.0,89388.0,22213.75
0181,2327,14101,,Retribuciones al personal de sustituciones,1851.0,1851.0,0.0
0181,2327,16000,,Seguridad social a cargo del ayuntamiento,54994.0,54994.0,15029.89
