#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2026ko Hasierako kreditua,2026ko Behin-betiko kreditua,Obligado ,i,j,k
0180,9271,22616,R,PRENTSARI LAGUNTZA TEKNIKOA EMATEKO ZERBITZUAK,0.0,2713.89,713.9,,,
0180,9271,22628,,Ikus-entzunezko komunikazioa,20000.0,20000.0,0.0,,,
0180,9271,22631,,Erakundeetako parte-hartzea,35000.0,35000.0,14523.6,,,
0180,9271,22632,,Harpidetzak,3000.0,3000.0,2860.0,,,
0180,9271,22634,,Ekitaldiak antolatzea eta ordezkaritza-gastuak,110000.0,110000.0,31532.97,,,
0180,9271,22634,R,Ekitaldiak antolatzea eta ordezkaritza-gastuak,0.0,3333.32,0.0,,,
0180,9271,22645,,Legez argitaratu beharreko iragarki ofizialak,120000.0,120000.0,0.0,,,
0180,9271,22730,,Argitalpen funtsak gordetzeko zerbitzua,7000.0,7000.0,414.63,,,
0180,9271,22732,,Zerbitzuak emateko kontratuak,30000.0,30000.0,1117.95,,,
0180,9271,22732,R,Zerbitzuak emateko kontratuak,0.0,15795.73,0.0,,,
0180,9271,22799,,Itzulpen-zerbitzuak,46000.0,46000.0,5377.19,,,
0180,9271,62505,,Bestelako tresnak,25000.0,25000.0,1414.37,,,
0181,2327,12000,,Funtzionarioen oinarrizko ordainsariak,40981.0,40981.0,8777.44,,,
0181,2327,12100,,Funtzionarioen ordainsari osagarriak,50862.0,50862.0,14506.13,,,
0181,2327,12105,,Helburuak lortu izanagatiko ordainsariak,2409.0,2409.0,0.0,,,
0181,2327,14100,,Bestelako langileak,89388.0,89388.0,22213.75,,,
0181,2327,14101,,Ordezko langileen ordainsariak,1851.0,1851.0,0.0,,,
0181,2327,16000,,"Gizarte Segurantza, enpresaren kontura",54994.0,54994.0,15029.89,,,
0181,2361,22604,,Zurrumurruen kontrako estrategia,45000.0,45000.0,0.0,,,
0181,2361,22608,,Informazio- eta prestakuntza-programa,80000.0,80000.0,13084.56,,,
0181,2361,22610,,Hiri Hezitzailea,27000.0,27000.0,0.0,,,
0181,2361,22613,,Itzulpena eta interpretazioa,46000.0,46000.0,6891.95,,,
0181,2361,22613,R,Itzulpena eta interpretazioa,0.0,0.4,0.0,,,
0181,2361,22614,,Martxoaren hiruko gertakarien 50. urteurreneko ekitaldiak prestazea,25000.0,25000.0,0.0,,,
0181,2361,22621,,Servicio de acogida,100000.0,100000.0,0.0,,,
0181,2361,22621,R,HARRERA-ZERBITZUA,0.0,67986.77,27194.71,,,
0181,2361,22639,,IRISGARRITASUN PLANAREN DINAMIZAZIOA,43000.0,43000.0,0.0,,,
0181,2361,22642,,Bizikidetza eta Aniztasun Plana,130000.0,130000.0,5721.53,,,
0181,2361,41910,,Zurrumurruen kontrako euskal sarea,5000.0,5000.0,0.0,,,
0181,2361,41910,R,Zurrumurruen kontrako euskal sarea,0.0,1000.0,0.0,,,
0181,2361,48128,,Hitzarmena: Arabako gorrak,22000.0,22000.0,0.0,,,
