#Ekonomikoa,Diru-sarreren aplikazioaren izena,"Hasierako kreditua 2022"
38003,Aseguru-etxeek gastu eta kalte-ordainak itzultzea,1.0
38004,Premiamendu-bideko kostuak itzultzea,8000.0
38005,Bide judizialeko kalte-ordainak itzultzea,1000.0
38008,Zerbitzu-ustiapenen itzulketak,126000.0
39101,Trafiko arau-hausteengatiko isunak,5280000.0
39102,Prozedura zigortzaileetako diru-sarrerak,1600000.0
39201,Premiamendu-gainordainak,1030000.0
39401,Auto-istripuek bide publikoan eragindako kalteak,90000.0
39402,Ekintza basatiek ondasunetan eragindako kalteak,15000.0
39404,Betearazte subsidiarioengatiko sarrerak,40000.0
39405,Epai kostuek sortutako sarrerak,25000.0
39601,Telefonia-enpresen sarrerak,850000.0
39902,Bestelako diru-sarrerak,125000.0
39903,Aurreko ekitaldietako berandutze-interesak,1000.0
39906,Floridako jaiotzako dohainak,1.0
39907,San Anton zozketako diru-sarrerak,1.0
39909,Aparkalekuetako diru-sarreretako partizipazioa,25000.0
40000,Administrazio Orokorretik,449997.76
41000,Eusko Jaurlaritzatik,18692397.52
42000,Arabako Foru Aldunditik,8218492.84
42001,FOFEL,188785967.91
48000,Familietatik,106500.0
49000,Europar Batasuneko erakundeetatik,62625.0
54001,Udalaren hiri-funtsen alokairu-errentak,105000.0
54002,Enpresa-mintegietako lokalak alokatzea,125000.0
54003,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,25000.0
54004,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,23000.0
55000,Emakiden emaitzak,575000.0
55004,Aparkalekuak erabiltzeko lagapena,28000.0
59002,Lur sailak erabiltzea,40000.0
60300,"Udalaren lurzoru-ondareko lursailak saltzea, oinarrizko proiektuetako ordainsariak barne",4215317.42
61200,Eraikinak eta bestelako eraikuntzak,5237000.0
71000,Eusko Jaurlaritzatik,3918000.0
72000,Arabako Foru Aldunditik,7000000.0
93301,Inbertsioak finantzatzeko maileguak,11250000.0
#,,411847291.8
