#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2025ko Hasierako kreditua,2025ko Behin-betiko kreditua,Obligado
0214,9210,60205,A,EU Maturana-Berastegi jauregia birgaitzea,0.0,1104015.02,889702.19
0214,9210,60205,R,EU Maturana-Berastegi jauregia birgaitzea,0.0,370970.9,267701.63
0214,9211,12000,,Funtzionarioen oinarrizko ordainsariak,195366.0,195366.0,219818.82
0214,9211,12100,,Funtzionarioen ordainsari osagarriak,249769.0,249769.0,263416.05
0214,9211,14100,,Beste langileak,36749.0,36749.0,136.43
0214,9211,16000,,"Gizarte Segurantza, enpresaren kontura",140586.0,140586.0,137338.9
0214,9211,16500,,"Elkarkidetzako kuotak, Udalaren kontura",6345.0,6345.0,9255.52
0214,9211,60507,,Aramangelu - abetxuko,40000.0,40000.0,0.0
0214,9211,62215,,Udal ondareko inbertsioak,100000.0,460000.0,24633.68
0214,9211,62215,A,Udal ondareko inbertsioak,0.0,157817.77,111585.79
0214,9211,62215,R,Udal ondareko inbertsioak,0.0,10151.3,10151.3
0214,9211,62226,,Udal etxebizitzak birgaitzea,100000.0,100000.0,9231.88
0214,9211,62226,A,Udal etxebizitzak birgaitzea,0.0,105421.24,105421.24
0214,9211,62226,R,Udal etxebizitzak birgaitzea,0.0,239.68,239.68
0214,9211,62296,,Kirol instalazioetako inbertsioak,200000.0,200000.0,0.0
0214,9211,62297,,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,2584585.01,2584585.01,787740.4
0214,9211,62297,R,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,0.0,181661.44,0.0
0214,9211,62298,,Kirol-inbertsioak futbol-zelaietan,463428.0,651837.83,0.0
0214,9211,64326,A,Hirigunea biziberritzeko plana,0.0,88842.57,45528.72
0214,9211,64516,A, gasteiz antzokia,0.0,16878.94,0.0
0214,9212,62290,,Principal antzokia eraberritzea,1161448.83,1795790.05,1712666.66
0214,9212,62290,A,Principal antzokia eraberritzea,0.0,357837.15,129765.13
0214,9212,62290,R,Reforma teatro principal,0.0,0.0,0.0
0214,9219,62315,,Eu alrm div func. aud pstd fii,0.0,241867.5,25235.94
0216,1502,12000,,Funtzionarioen oinarrizko ordainsariak,237089.0,237089.0,191999.45
0216,1502,12100,,Funtzionarioen ordainsari osagarriak,343458.0,343458.0,282749.2
0216,1502,14100,,Bestelako langileak,45754.0,144654.34,170897.98
0216,1502,16000,,"Gizarte Segurantza, enpresaren kontura",172119.0,172119.0,185288.85
0216,1502,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8031.0,8031.0,10608.68
022201,1691,12000,,Funtzionarioen oinarrizko ordainsariak,170576.0,170576.0,172274.54
022201,1691,12100,,Funtzionarioen ordainsari osagarriak,231894.0,231894.0,230088.87
022201,1691,14100,,Bestelako langileak,167569.0,167569.0,127414.17
022201,1691,16000,,"Gizarte Segurantza, enpresaren kontura",180111.0,180111.0,164491.43
022201,1691,16500,,"Elkarkidetzako kuotak, Udalaren kontura",9521.0,9521.0,12145.4
022201,1721,60305,,Gardelegiko zabortegiko instalazioak,100000.0,100000.0,9493.71
022201,1721,60305,A,Gardelegiko zabortegiko instalazioak,0.0,77199.37,0.0
022201,1722,62916,,Zabortegiaren ingurumen kalitatea,75000.0,170831.0,43074.38
022202,1722,22600,,Urbanew 1,0.0,72468.0,16277.73
022202,1722,22600,A,Urbanew beste gastuak,0.0,19834.94,19834.94
022202,1722,22626,,Urbanew 2,0.0,116370.0,2292.64
022203,1621,22700,,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,10010927.61,10471493.44,10454111.36
022203,1621,22700,R,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,0.0,12895.32,12895.32
022203,1621,22703,,Bilketa pneumatikoaren kontratua alde zaharrean,1493685.72,1493685.72,1674134.75
022203,1621,22704,,Bilketa pneumatikoaren energia elektrikoaren hornidura,400000.0,506000.0,440920.17
022203,1621,22704,R,Bilketa pneumatikoaren energia elektrikoaren hornidura,0.0,65043.84,65043.84
022203,1621,22715,,Garbiketarako eta hondakinen bilketa eta garraiorako kontratua,517242.3,517242.3,491581.67
022203,1621,22724,,Garbiguneak ustiatzeko kontratua,511138.0,511138.0,511138.19
022203,1622,21204,,Zabortegiko instalazioak mantentzea,210156.96,426747.96,456521.7
022203,1622,22699,,Bestelako hainbat gastu,80000.0,55000.0,15059.67
022203,1622,22700,,Komunikazio-kanpainak: garbiketa eta hiriko hondakin solidoak,0.0,0.0,0.0
022203,1622,22707,,Dibertsitatea kontserbatzeko azterlanak,58500.0,58500.0,57492.57
022203,1622,22723,,Zabortegia ustiatzeko kontratua,1393839.12,1393839.12,1393839.12
022203,1623,22111,,Tresnak,5000.0,5000.0,11329.84
022203,1623,22702,,Jundizko hiri hondakinen lantegia ustiatzeko kontratua,10526482.1,11293842.07,9696425.53
022203,1623,22710,,Tamaina handikoen bilketarako kontratua,1562302.7,1562302.7,1562303.16
022203,1623,47133,,"Hitzarmena, Vital Fundazioa, 0 plastiko",50000.0,50000.0,50000.0
022203,1623,60907,,"Uraren, airearen eta lurraren kalitatea kontrolatzea",72000.0,72000.0,12287.55
022203,1623,60907,R,"Uraren, airearen eta lurraren kalitatea kontrolatzea",0.0,5559.95,5559.95
022203,1631,22700,,Kale-garbiketa,15020203.08,15779502.68,15802048.58
022203,1631,22701,,Graffiti aurkako plana,97100.0,97100.0,119614.14
022203,1722,12000,,Funtzionarioen oinarrizko ordainsariak,173218.0,173218.0,214645.53
022203,1722,12100,,Funtzionarioen ordainsari osagarriak,237383.0,237383.0,291138.79
022203,1722,14100,,Bestelako langileak,203333.0,203333.0,208903.35
022203,1722,16000,,"Gizarte Segurantza, enpresaren kontura",198284.0,198284.0,207472.21
022203,1722,16500,,"Elkarkidetzako kuotak, Udalaren kontura",10893.0,10893.0,11047.44
022204,1711,12000,,Funtzionarioen oinarrizko ordainsariak,70905.0,70905.0,69060.07
022204,1711,12100,,Funtzionarioen ordainsari osagarriak,91641.0,91641.0,86334.55
022204,1711,13000,,Lan-kontratudun langile finkoen ordainsariak,102809.0,102809.0,102868.33
022204,1711,14100,,Bestelako langileak,17997.0,17997.0,50145.45
022204,1711,16000,,"Gizarte Segurantza, enpresaren kontura",83893.0,83893.0,90765.63
022204,1711,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4509.0,4509.0,4503.66
022204,1711,21073,,Arboretoa onik zaintzea,146250.0,163850.0,27056.36
022204,1711,21074,,Kanpoko Eraztun Berdea onik zaintzeko lanak,559464.0,519464.0,392776.19
022204,1711,21074,R,Kanpoko Eraztun Berdea onik zaintzeko lanak,0.0,38577.17,21644.55
022204,1711,22663,,Jabari publikoko kanon. Elorriaga-Arkaute,72000.0,72000.0,67182.6
022204,1711,22699,,Ekonomia zirkularraren estrategia,25000.0,25000.0,0.0
022204,1711,48197,,"Hitzarmena, EHU: Unicities 2030 proiektua",0.0,10000.0,8000.0
022204,1711,60916,,Tokiko (Hiriko) 2030 Agenda ,50000.0,50000.0,0.0
022204,1711,60916,R,Tokiko (Hiriko) 2030 Agenda ,0.0,17182.0,17182.0
022204,1711,62219,A,Eguzki-plaka fotovoltaikoak instalatzea,0.0,501066.92,501066.92
022204,1711,64305,,Klimaren eta energia iraunkorraren aldeko ekintza plana,20000.0,20000.0,2420.0
022204,1711,64305,R,Klimaren eta energia iraunkorraren aldeko ekintza plana,0.0,48400.0,48400.0
022204,1711,64306,,Eguzki-plaka fotovoltaikoak instalatzea,200000.0,104169.0,22398.92
022204,1711,64306,A,Eguzki-plaka fotovoltaikoak instalatzea,0.0,238401.46,238401.46
022204,1711,64319,,Eremu elektromagnetikoak kontrolatzeko sarea,10000.0,10000.0,0.0
022204,1711,64319,R,Eremu elektromagnetikoak kontrolatzeko sarea,0.0,4089.8,0.0
022204,1711,64321,,Energia berriztagarrien plana,10000.0,10000.0,1725.0
022204,1711,64321,A,Energia berriztagarrien plana,0.0,45984.68,0.0
022204,1711,64321,R,Energia berriztagarrien plana,0.0,18089.5,0.0
022204,1711,64336,,Trantsizio energetikorako inbertsioak,10000.0,10000.0,1936.0
